dsem,dstud,dratio
1,Domestic student,1
1,International Student,2
2,Domestic student,2
2,International Student,12
3,Domestic student,3
3,International Student,2
4,Domestic student,15
4,International Student,6
5,Domestic student,2
5,International Student,3
6,Domestic student,14
6,International Student,1
7,Domestic student,2
8,Domestic student,3
8,International Student,3
9,Domestic student,
10,Domestic student,1
11,Domestic student,1
12,Domestic student,2
13,Domestic student,1
14,Domestic student,1
18,Domestic student,1